alter,laufzeit_monate,kredit_betrag,sparkonto,beschaeftigung,Credit_Approved
64,18,902,gering,kurz,1
21,6,6539,gering,mittel,0
47,60,10693,gering,lang,0
53,18,8990,gering,lang,1
57,36,4390,gering,kurz,1
36,48,10884,hoch,mittel,0
38,48,12393,gering,kurz,0
61,24,5510,hoch,arbeitslos,1
41,60,13104,gering,mittel,0
52,36,8029,keins,kurz,1
51,18,5937,gering,mittel,1
68,60,9228,hoch,mittel,1
66,12,4218,gering,mittel,1
28,48,6215,keins,arbeitslos,0
51,12,7547,keins,lang,1
65,36,7038,gering,lang,1
51,24,3690,hoch,mittel,1
66,36,6656,gering,mittel,1
44,6,10644,mittel,lang,1
38,24,408,keins,mittel,1
33,24,8930,keins,kurz,0
55,36,10185,gering,kurz,0
51,24,2553,gering,kurz,1
35,12,2994,mittel,mittel,1
23,18,7377,mittel,lang,0
68,12,9575,gering,kurz,1
74,24,14235,keins,kurz,1
22,18,2431,gering,mittel,0
21,6,13052,gering,kurz,0
39,36,14043,gering,arbeitslos,0
58,48,772,gering,kurz,1
21,24,6158,hoch,lang,0
39,36,8672,keins,lang,0
66,48,9909,gering,mittel,1
67,18,5731,hoch,mittel,1
26,36,13623,gering,arbeitslos,0
60,60,2321,gering,lang,1
54,48,936,gering,mittel,1
47,24,10032,hoch,arbeitslos,0
71,24,2589,gering,mittel,1
57,12,13975,gering,arbeitslos,1
52,60,1589,mittel,mittel,1
40,36,14004,mittel,lang,0
73,36,13332,gering,mittel,1
49,12,7936,keins,kurz,1
46,12,3322,keins,lang,1
53,48,7073,hoch,lang,1
52,36,5072,mittel,arbeitslos,1
31,18,11072,gering,kurz,0
59,18,10965,gering,lang,1
22,6,7181,keins,kurz,0
61,60,4632,gering,mittel,1
24,12,6937,hoch,mittel,0
19,18,7670,gering,mittel,0
30,24,13023,gering,kurz,0
53,24,5564,gering,lang,1
29,12,3954,keins,mittel,1
41,48,5258,gering,mittel,0
32,24,10788,gering,mittel,0
37,6,10957,gering,kurz,0
