Gender,Age,Education,Credit_Score,Annual_Income,Loan_Amount,Years_Employed,Credit_Approved
Male,31,Masters,660,70541,29941,3,0
Female,35,High School,651,59057,18945,15,1
Female,43,Bachelors,566,91983,15762,23,1
Female,38,Bachelors,817,44583,35133,28,1
Male,27,High School,731,47765,45150,21,1
Male,50,Bachelors,573,84287,32052,29,1
Male,40,High School,578,48906,46750,0,0
Female,36,High School,720,110103,24953,16,1
Female,42,High School,777,104675,45475,24,1
Female,56,Doctorate,737,71525,22130,9,1
Male,35,Bachelors,779,63230,36086,21,1
Female,25,Doctorate,668,44520,9633,15,0
Female,27,Bachelors,705,110238,22304,15,1
Male,44,Bachelors,821,76934,47037,25,1
Male,37,Bachelors,724,50566,37284,7,0
Male,44,Bachelors,653,98193,12008,28,1
Male,31,High School,641,55134,32405,6,0
Male,34,Bachelors,735,35345,41386,27,1
Male,45,High School,832,66185,30373,5,1
Male,60,Bachelors,730,117949,25827,15,1
Female,64,Bachelors,719,95744,38040,19,1
Male,45,High School,736,58455,18007,15,1
Male,51,High School,724,53018,23157,6,0
Male,29,Masters,771,79219,37157,8,1
Male,35,Bachelors,782,70991,40315,13,1
Female,26,High School,711,98616,40932,10,1
Male,36,Doctorate,683,112438,26164,25,1
Male,42,High School,773,34486,19414,25,1
Female,45,Bachelors,702,63862,19327,13,1
Male,40,Doctorate,582,83870,5946,6,1
Female,41,High School,604,111694,19693,0,0
Male,26,High School,556,68856,32241,25,1
Male,33,High School,793,111055,35254,24,1
Female,34,Bachelors,675,56379,20540,12,0
Female,26,High School,561,89729,11719,19,1
Female,28,Bachelors,565,53378,46203,2,0
Male,27,High School,757,79353,30081,19,1
Male,42,Bachelors,592,74996,16350,3,0
Female,48,Doctorate,684,39031,41358,28,1
Male,37,Masters,777,105072,37021,25,1
Male,50,Bachelors,660,90982,47832,10,1
Male,49,Bachelors,709,61683,33369,1,0
Male,58,Bachelors,813,42618,36728,13,1
Female,54,Bachelors,774,31587,22576,11,0
Male,37,Bachelors,766,87790,34001,29,1
Female,61,High School,594,56480,22848,16,0
Male,58,Masters,763,45527,5390,11,1
Male,36,Bachelors,608,48569,26999,25,1
Male,33,High School,681,36151,16569,11,0
Male,50,Bachelors,653,96094,18029,0,1
Female,43,Bachelors,744,84174,27490,12,1
Female,54,Masters,706,69739,40328,13,1
Female,63,Masters,647,57954,10867,23,1
Female,64,Masters,775,60303,20284,29,1
Female,53,High School,754,59700,38979,1,0
Female,22,Bachelors,628,118036,14121,11,1
Male,56,Bachelors,673,92568,6539,25,1
Male,62,High School,767,91788,30488,20,1
Male,59,High School,553,96045,22027,27,1
Male,45,Masters,639,62842,13693,15,1
Male,42,High School,653,38900,13921,3,0
Male,63,Bachelors,668,105059,15310,7,1
Female,58,High School,682,26881,35908,1,0
Male,34,High School,645,58037,9386,9,1
Male,23,High School,692,26630,37263,8,0
Male,48,Doctorate,837,45789,33412,22,1
Male,41,Masters,577,113059,22303,14,1
Female,44,Doctorate,827,108494,17242,12,1
Male,32,Bachelors,782,71151,13947,22,1
Female,37,High School,566,73920,10930,16,1
Female,52,Bachelors,608,92231,43170,29,1
Male,35,Bachelors,639,105357,5507,15,1
Male,64,Masters,748,28262,6436,27,1
Female,61,High School,575,91981,32151,1,0
Female,63,Bachelors,574,106972,16618,19,1
Female,21,High School,816,100485,13750,19,1
Female,54,Bachelors,730,79722,21122,26,1
Male,61,Masters,617,114499,12354,13,1
Male,53,Bachelors,598,75818,49062,2,0
Male,49,Bachelors,724,54932,35979,22,1
Female,32,Bachelors,601,31901,25900,11,0
Female,32,Bachelors,651,33597,18840,7,0
Male,37,Masters,765,88909,42167,1,1
Male,51,Masters,737,97391,10037,3,1
Male,51,Doctorate,606,109214,33633,13,1
Male,54,Masters,596,33263,29495,15,0
Female,58,Bachelors,708,88293,20848,18,1
Female,48,Bachelors,723,50805,41483,1,0
Female,48,Bachelors,791,116679,12837,11,1
Male,63,High School,831,36874,39069,28,1
Male,35,Masters,790,118065,12370,13,1
Female,63,High School,554,111402,11411,5,0
Female,29,Doctorate,633,39079,44133,12,0
Female,49,Bachelors,797,74850,35499,3,0
Female,44,Bachelors,603,97779,35225,21,1
Male,58,Bachelors,710,34018,5692,17,1
Male,39,Masters,775,74500,33926,11,1
Male,24,Bachelors,564,37100,39246,19,1
Male,20,Bachelors,773,82021,44164,26,1
Male,49,High School,610,44800,13448,21,1
Male,22,Bachelors,671,88400,48390,29,1
Female,64,High School,826,117446,15073,20,1
Male,33,Masters,595,54437,40414,18,1
Male,49,Bachelors,843,101537,10209,7,1
Female,23,Bachelors,611,71675,11533,6,0
Male,37,High School,635,44942,26061,15,1
Male,56,High School,759,45862,12211,18,1
Female,44,Masters,627,36669,14927,5,0
Male,20,High School,751,78772,16927,19,1
Male,34,High School,772,40916,29594,26,1
Male,28,High School,771,35878,14316,20,1
Male,34,Doctorate,552,27985,17177,10,0
Female,43,Masters,555,98648,15846,4,0
Female,23,Bachelors,642,66235,12933,15,1
Female,31,High School,557,43931,43244,6,0
Female,56,Bachelors,784,117876,45696,26,1
Female,56,Masters,657,25336,7080,4,0
Male,62,Bachelors,710,67933,11089,10,1
Female,25,High School,758,109899,31123,14,1
Male,58,High School,789,70536,12797,2,1
Female,43,High School,599,94504,13346,25,1
Female,30,Bachelors,560,76148,24878,4,0
Male,32,Masters,705,41279,38672,22,1
Male,53,High School,619,93665,22653,20,1
Male,44,High School,718,96386,47742,4,1
Male,26,High School,821,111124,31140,8,1
Female,23,Doctorate,617,102485,6184,14,1
Female,27,High School,801,99055,39493,2,1
Male,39,Masters,597,116911,49148,28,1
Male,48,Bachelors,733,102273,29846,5,1
